mid,user_name,type,link,content
4820093098264539,界面新闻,pro-qiangdong,https://weibo.com/5182171545/M8qIdyFZ1?refer_flag=1001030103_,"【#刘强东明州事件双方以和解终结#】刘强东明州案迎来意外转折，北美时间10月1日晚间双方律师团队发表联合声明，声明显示案件双方已经达成和解，和解细节未对外公布。该案原定于10月3日在明尼苏达州明尼阿波利斯市市中心的亨内平郡地区法院开庭审理。

声明称：刘强东先生和刘婧尧女士于2018年在美国明尼苏达的一次偶然事件所造成的误会，占用了大量的社会资源，也给彼此的家庭造成了深重的困扰。今天，为了避免进一步的诉讼伤害，双方决定消除误会，达成和解，为这次事件画上句号。除以上声明，刘婧尧女士及其代表和律师不再发表任何评论，双方也不会出具其它的联合声明。"
4820116920865457,界面新闻,pro-qiangdong,https://weibo.com/5182171545/M8rkE3D8Z?refer_flag=1001030103_,#刘强东回应明州事件#【#刘强东回应明州事件和解#】#刘强东明州事件双方以和解终结# 界面新闻从刘强东律师处获悉，10月2日，刘强东就明州事件发表声明：纠葛四年的事情，今天终于结束了！再次对被这件事困扰的所有人尤其是我的妻子表示歉意。在这里，我要特别感谢妻子的宽容、支持和陪伴！没有她，我无法坚持到今天！时间永远向前，我希望我的生活和工作能够尽快恢复正常。我们也即将迎来新的小生命，我会更加珍惜、守护好这个家庭。祝福所有人明天会更好！
4820970180971712,另维,pro-qiangdong,https://weibo.com/1243771321/M8NwS44MM?refer_flag=1001030103_,"#刘强东明州案双方以和解终结# 
挺关注这个案件的，双方提交的2417条证据，医生、警察、司机等证词，几次庭审双方律师和原被告的对话读了大半，还来了明尼苏达准备亲眼看庭审。
庭审没看着，把我读的证据梳理一下，分析分析这个案件吧。
你的看法呢？#刘强东明州事件双方以和解终结#"
4820108793611285,鍋盖頭司令,pro-qiangdong,https://weibo.com/2099591797/M8r7xf9sx?refer_flag=1001030103_,"#刘强东明州事件双方以和解终结#，兜兜转转折腾了4年，最终以和解的方式结束了[吃瓜][吃瓜]

不知道女方前4年在想啥？目的是啥？但是可以确定的是，东哥可以继续掌舵京东的大船了。"
4820143517204890,小满,pro-qiangdong,https://weibo.com/2099956712/M8s1xuejU?refer_flag=1001030103_,"#刘强东回应明州事件# 明州事件持续发酵4年，让刘强东焦头烂额同时，持续保持低调甚至沉默态度。最终，#刘强东明州事件双方以和解终结#，背后的是非曲直，非常人所能理解，尽管有各种解读的“罗生门”，但有“既定事实”的基础上，#刘强东向章泽天致歉#，也是必须的，章泽天真能忍，也真能成大事，不愧是当年拒绝张艺谋的奶茶妹妹，有大格局、大视野，未来的刘强东和京东，将进一步和章泽天绑定。

在刘强东与奶茶妹妹结婚前一天，京东发了财报，其中表示，授予刘强东2600万股A类股票期权，未来10年内刘强东每年工资只有1元，没有额外的现金奖励。相当于：京东先给刘强东把工资、奖金都提前发了。结婚后两人没有关于京东股权的共同财产，全是刘强东的个人财产。即使今后离婚，奶茶妹妹也分不走刘强东的股权，10年也只能分走5块钱。"
4820140199510428,互联网俊明说,pro-qiangdong,https://weibo.com/1746575865/M8rWbDU60?refer_flag=1001030103_,"最大的输家还是大强子，因为丑闻，公司的职位卸了，政治上没有身份认同了，公开场合不能夸夸其谈了。唯一欣慰的可能是，有二胎了。

大企业家，不怕财富跌落，最怕的是名声被毁。一旦被毁，没了人设，做事情就不会顺畅。

所以，和解只是法律上的，心灵上始终和解不了。"
4820131488727468,拆台CT,pro-qiangdong,https://weibo.com/6059492811/M8rI8ACpC?refer_flag=1001030103_,#刘强东向章泽天致歉#原定于10月3日开审的刘强东明州民事诉讼提前以和解告终。#刘强东明州事件双方以和解终结#极目新闻记者2日从刘强东律师处获悉，刘强东向被这件事困扰的所有人尤其是他的妻子再次致歉。以下为刘强东律师发来的刘强东致歉声明原文：“纠葛四年的事情，今天终于结束了！再次对被这件事困扰的所有人尤其是我的妻子表示歉意。在这里，我要特别感谢妻子的宽容、支持和陪伴！没有她，我无法坚持到今天！时间永远向前，我希望我的生活和工作能够尽快恢复正常。我们也即将迎来新的小生命， 我会更加珍惜、守护好这个家庭。祝福所有人明天会更好！”#刘强东回应明州事件#章泽天随后也发文回应：“人生总有风雨，但时间永远向前。”据了解，北美时间10月1日晚间，双方律师团队发表联合声明，声明显示案件双方已经达成和解，和解细节未对外公布。该案原定于10月3日在明尼苏达州明尼阿波利斯市市中心的亨内平郡地区法院开庭审理。声明称：刘强东先生和刘婧尧女士于2018年在美国明尼苏达的一次偶然事件所造成的误会，占用了大量的社会资源，也给彼此的家庭造成了深重的困扰。今天，为了避免进一步的诉讼伤害，双方决定消除误会，达成和解，为这次事件画上句号。除以上声明，刘婧尧女士及其代表和律师不再发表任何评论，双方也不会出具其它的联合声明。此前，原被告双方刚刚经过两天时间选定陪审团，刘强东本人全程在场，章泽天也一直在旁听席上。界面新闻在现场注意到，法官还在陪审团选定后与双方律师讨论下一步开庭准备性工作，刘强东方律师追问原告是否已经选定最后的人证物证。据悉，按计划，法院和律师还会在周末利用Zoom会议解决一些程序性问题。2018年9月1日，刘强东因被控Q奸既遂，被美国明尼苏达州警局当面逮捕，尔后被移送监狱关押，同年12月21日，明尼阿波利斯市亨内平县检察官办公室公布了刘强东事件的调查结果，决定不予起诉。四个月后，也就是2019年4月，Liu Jingyao向亨内平郡地区法院提起针对刘强东和京东的民事诉讼。在之后的近三年半时间里，公众对案件的关注在减少，但案件的审理一直在进行，从2019年9月开始，多数时候几乎每个月法院都有听证会、案件管理会议等。从头到尾，在提交给法院的案件陈述和听证会中，原告和被告对同一时间段内发生的事情都是两种截然不同的描述。Liu Jingyao指控刘强东意图伤害她、非法限制自由、性侵，刘强东和他的律师们则坚持两人是在双方都同意的情况下发生的性关系。按照原定的审理过程，陪审团将在接下来的一个月里在法官的指导下对双方提供的证据进行判断并做出裁决。据半岛都市报此前报道，6月24日，美国明州举行线下公开听证会，警方执法记录仪视频等大量证据随之公开。据悉，在本次听证会上，刘静尧的律师出具了以下证据，用以证明刘强东和京东在明知道刘静尧从未表达同意的前提下，蓄意忽略她的权利和安全，对其进行性侵的行为，这些行为均符合惩罚性赔偿的条件：1、京东聘请的美国司机证词：司机在车上通过后视镜看到刘静尧躲在车后座角落，司机称，在为刘强东担任司机的这些日子，看到他是一个非常有权力的人，每个人都对他毕恭毕敬。随后，司机被问到是否认为刘静尧在车里被性侵时，他说：“我当时没有思考这方面的事情，我想到的是，这个有权利的男人下定决定要得到她。”2、当晚聚餐的日本餐馆女服务员证词：女服员透露，刘静尧不断被灌酒，且满脸通红，很明显属于不适状态，所以自己主动给她送去了一杯热茶。3、刘强东的书面证词：他承认，在晚宴和车里，刘静尧从未作出任何行为表示她想要和他发生性关系，他只是觉得女方对他非常友好。4、刘静尧本人回答的视频资料显示，刘静尧口述了她的经历：我在晚宴上被灌了许多酒，并乞求Alice（刘强东助理）帮我打车送我回家。被送上车后，刘强东开始触碰我，我不断拒绝抵抗，在车里无处可逃，只能躲在座位的左侧角落……我以为我在回家的路上，没想到却被带到了别墅，我从来没有表达过我是同意的，我不断拒绝。针对原告刘jingyao提出的指控，警方多个视频显示，“原告告诉警方，她没有被强奸，是自愿的”、“我是自发地和他发生了性关系……这是事实。”长期关注此案的明州律师周东发也旁听了听证会，他认为原告的证据前后矛盾太多，其动议很可能失败。 周东发认为，目前媒体曝光的视频为公开文件、公共证据，不存在刘静尧方面声称的非法曝光隐私问题。刘静尧若打赢官司，其律师有可能拿到40%的高额代理费。
4820145799692515,有狐噢狐狐,pro-qiangdong,https://weibo.com/7479939833/M8s5dEFsT?refer_flag=1001030103_,#刘强东明州事件双方以和解终结#[doge]#刘强东向章泽天致歉# 心疼章泽天的，人家需要你们心疼吗？章泽天嫁给能当自己爹的刘强东，本就是利益婚姻，刘强东就算长一身菜花，只要章泽天拎得清，依旧是豪门的幸福小娇妻。有钱人有一万种保全财产的方法，这场婚姻的离婚主动权，从来都不在章泽天手里。
4820615356223187,上帝之鹰_5zn,pro-qiangdong,https://weibo.com/1647486362/M8Eizq6VZ?refer_flag=1001030103_,"#刘强东明州事件双方以和解终结# 
刘强东案，本来已经懒得再提了。该扒的细节，3年前已经扒得差不多了。而且无论如何，刘强东也不是啥清白无辜之身，至少出轨渣男的罪名是坐实了。但看到某些群体趁机开始岁月史书，把女方洗得和圣母白莲花似的，仿佛整个事就是有钱老男人兽欲大发后，又利用手中的财和权逼迫一个可怜的弱女子忍气吞声一般，进而把整件事上升到两性层面。我就呵呵了，真以为网络没有记忆的？来，就让我们根据监控和记录，复盘一下当年整件事的一些有趣细节。1.刘强东酒局期间上厕所，女方主动跟随，后成为检方不起诉证据之一；2.女方公寓需刷卡进入，系女方主动刷卡；3.刘强东助理在时，两人保持距离，助理一不在，两人立马互挽胳膊，宛如情侣；4.公寓内就有保安，近在咫尺，“被胁迫”的女方却始终没有呼救；5.据说曾被刘“猥亵”的jingyao女士，挽着刘强东胳膊进入电梯时，面带笑意；6.电梯门开了以后，jingyao女士主动伸手邀请刘强东进入自己房间；7.警察来了后，女方第一时间表示双方是自愿发生关系（有警方执法记录仪画面为证）；8.据警方笔录，女方事后不仅再次承认发生关系是自愿，还承认两人曾在车内激吻、进入房间后洗过鸳鸯浴、啪啪后熟睡。只是后来突然改口曾被性侵。主动挽胳膊、主动邀请、洗鸳鸯浴、第一时间报称自愿。。。监控、笔录都在，还在扯什么大佬以权性侵，是在侮辱大家的智商吗？！"
4820764726921195,阿司匹林42195米,deleted,https://weibo.com/6335428789/M8Ibut2wb?refer_flag=1001030103_,"另一个付钱庭外和解的故事
#刘强东明州案以和解告终#日达仙（胸腺肽）是美国赛生制药公司（ScClone）的产品，这个药在各种三期临床试验中都失败了，没有一个显示有效，因此除了短暂作为一个孤儿药，FDA没有批准日达仙作为任何药物上市。但是日达仙在中国获批，并且极为畅销，仅2017-2020年在中国每年的营收就达10亿到近16亿元。《南方都市报》曾写过一篇报道《美国赛生制药公司在华销售伎俩曝光》。文章指出，长期以来，赛生制药主要靠一个产品“日达仙”维持经营，2009年中国市场占赛生销售额的96%。这个三期临床试验失败了的药，竟然撑起了一个公司。美国证券交易委员会和美国司法部的调查揭示，从2005年起，赛生对中国卫生部门的人员进行了贿赂，承包医务人员的旅游，花钱请人专门疏通官方关系以便获得新药批准，还给开药的医护人员“好处费”。2016年2月，美国证券交易委员会宣布，赛生制药公司违反了《反海外腐败法》，赛生同意支付一笔庞大的费用/罚款（1280万美元），庭外达成了民事和解。
#刘强东明州事件双方以和解终结#，#阿医生说医学##日达仙##免疫力#"
